Lieu de prêt,Emplacement,"Nb prêt02/05/17","Nb prêt03/05/17","Nb prêt04/05/17","Nb prêt05/05/17","Nb prêt06/05/17","Nb prêt09/05/17","Nb prêt10/05/17","Nb prêt11/05/17","Nb prêt12/05/17","Nb prêt13/05/17","Nb prêt15/05/17","Nb prêt16/05/17","Nb prêt17/05/17","Nb prêt18/05/17","Nb prêt19/05/17","Nb prêt20/05/17","Nb prêt22/05/17","Nb prêt23/05/17","Nb prêt24/05/17","Nb prêt26/05/17","Nb prêt27/05/17","Nb prêt29/05/17","Nb prêt30/05/17","Nb prêt31/05/17"
TOTAL                    ,                   ,1285,2834,625,1307,2869,1056,2310,811,1079,2103,245,1065,2189,771,1305,1853,267,1061,2283,877,814,299,1437,2546
Bourg                    ,TOTAL              ,129,432,44,256,0,183,425,66,187,0,0,134,437,16,270,0,3,138,333,55,0,0,177,411
                         ,ALBUMS             ,25,140,37,98,0,105,68,20,39,0,0,32,123,4,78,0,0,20,77,14,0,0,60,121
                         ,ARTS               ,2,1,0,3,0,1,2,7,3,0,0,2,7,0,2,0,0,2,1,0,0,0,1,3
                         ,BD ADULTES         ,2,10,0,12,0,3,35,1,17,0,0,6,24,0,14,0,0,1,14,0,0,0,4,8
                         ,BD JEUNESSE        ,15,111,0,29,0,22,114,8,44,0,0,9,48,12,37,0,1,29,104,2,0,0,25,91
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
                         ,CINEMA JEUNESSE    ,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,CINEMA             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
                         ,GEOGRAPHIE         ,2,2,0,1,0,1,9,0,1,0,0,0,4,0,3,0,0,1,1,2,0,0,2,4
                         ,HISTOIRE           ,4,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,4
                         ,INFORMATIQUE       ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,1,1
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,1,0,1,0,0,2,0,0,0,0,0,5,0,1,0,0,2,0,1,0,0,0,0
                         ,LETTRES            ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,LOISIRS CREATIFS   ,3,2,0,5,0,0,5,3,0,0,0,3,9,0,2,0,0,3,2,0,0,0,1,5
                         ,MUSIQUE ADULTES    ,4,8,4,1,0,3,17,1,8,0,0,2,59,0,3,0,0,1,17,3,0,0,4,19
                         ,MUSIQUE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,MUSIQUE JEUNESSE   ,2,6,0,0,0,0,1,0,1,0,0,2,16,0,5,0,0,0,0,0,0,0,0,4
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
                         ,PRESSE             ,8,49,0,19,0,7,37,0,11,0,0,10,40,0,15,0,0,9,18,5,0,0,11,43
                         ,PSYCHOLOGIE        ,1,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
                         ,RELIGIONS          ,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,23,56,0,41,0,25,45,0,36,0,0,20,58,0,42,0,0,31,48,16,0,0,41,51
                         ,ROMANS JEUNESSE    ,27,30,0,33,0,8,55,10,6,0,0,14,20,0,29,0,1,18,35,4,0,0,20,28
                         ,SCIENCES           ,2,7,2,8,0,2,8,4,4,0,0,6,7,0,9,0,0,5,1,1,0,0,2,8
                         ,SOCIETE            ,1,0,0,1,0,0,4,3,2,0,0,0,3,0,1,0,1,2,0,1,0,0,0,2
                         ,SPORTS ET LOISIRS  ,0,1,0,2,0,1,6,0,1,0,0,2,2,0,1,0,0,2,0,0,0,0,0,2
                         ,VIE PRATIQUE       ,7,5,1,2,0,2,6,1,7,0,0,24,7,0,20,0,0,4,11,3,0,0,5,12
Haute Chaussée           ,TOTAL              ,0,52,0,26,0,0,45,10,34,0,0,0,34,30,15,0,0,1,51,0,0,0,0,50
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
                         ,JEUX D'ASSEMBLAGE  ,0,5,0,7,0,0,2,0,3,0,0,0,3,8,2,0,0,0,15,0,0,0,0,5
                         ,JEUX D'EXERCICES   ,0,7,0,6,0,0,5,3,1,0,0,0,13,14,3,0,0,0,12,0,0,0,0,13
                         ,JEUX A REGLES      ,0,18,0,8,0,0,18,4,21,0,0,0,5,0,8,0,0,1,14,0,0,0,0,12
                         ,JEUX SYMBOLIQUES   ,0,8,0,3,0,0,13,1,6,0,0,0,6,5,2,0,0,0,9,0,0,0,0,13
                         ,JEUX VIDEO         ,0,9,0,2,0,0,7,2,2,0,0,0,7,2,0,0,0,0,1,0,0,0,0,3
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE            ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,511,1254,425,566,2414,435,1078,520,503,1700,11,528,1015,464,579,1517,29,524,1198,662,643,5,784,1102
                         ,ALBUMS             ,31,200,104,63,376,72,236,105,37,250,0,61,138,68,76,160,21,72,86,113,120,0,131,151
                         ,ARTS               ,13,30,10,20,43,4,5,4,4,28,0,4,8,7,12,37,0,22,23,11,4,1,20,16
                         ,GRAPHISME          ,2,3,8,0,15,3,13,3,0,6,0,3,0,1,1,12,0,2,7,5,5,0,2,5
                         ,BD ADULTES         ,42,44,17,54,136,15,74,30,10,117,0,28,42,18,49,85,0,28,83,68,35,0,27,39
                         ,BD JEUNESSE        ,32,209,41,47,452,6,216,92,34,284,5,37,212,36,32,324,1,32,131,137,64,2,79,142
                         ,CINEMA ADULTES     ,63,65,28,28,136,54,46,35,60,109,0,48,65,44,41,138,1,37,73,50,41,1,66,88
                         ,CINEMA JEUNESSE    ,5,30,12,35,122,16,38,5,11,52,0,19,46,15,11,45,0,2,29,21,23,0,13,51
                         ,CINEMA             ,1,2,1,0,2,1,1,1,0,1,0,1,2,0,0,2,0,1,2,0,0,0,1,4
                         ,DANSE              ,1,3,1,2,0,0,2,0,15,12,3,2,3,2,2,7,0,7,2,2,4,0,5,5
                         ,GEOGRAPHIE         ,12,29,5,9,54,15,17,6,15,22,0,6,22,17,10,34,0,7,26,16,11,0,16,15
                         ,HISTOIRE           ,2,7,2,17,28,5,16,5,4,25,0,5,18,6,4,7,0,6,14,9,5,0,12,7
                         ,INFORMATIQUE       ,4,5,3,3,15,2,7,4,3,4,0,0,2,0,3,8,0,0,2,4,1,0,3,10
                         ,JEUX D'ASSEMBLAGE  ,1,11,4,3,22,7,13,5,7,15,0,2,17,3,6,11,0,3,5,7,7,0,4,12
                         ,JEUX D'EXERCICES   ,13,20,2,6,25,8,9,8,9,13,0,8,21,5,5,4,0,3,9,0,4,0,4,13
                         ,JEUX               ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,19,32,5,9,84,21,39,14,15,72,0,9,70,7,12,34,0,6,32,15,19,0,13,32
                         ,JEUX SYMBOLIQUES   ,9,21,5,4,12,3,15,2,10,30,0,4,11,3,3,14,0,5,21,3,6,0,2,28
                         ,JEUX VIDEO         ,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
                         ,LANGUES            ,0,4,2,3,12,6,2,3,5,7,0,1,11,1,7,8,0,2,5,0,0,0,3,5
                         ,LETTRES            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,LITTERATURE        ,3,11,2,4,8,1,4,0,2,2,0,3,1,1,1,3,0,1,9,0,0,0,0,5
                         ,FONDS LOCAL        ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,7,11,6,1,27,3,4,6,3,9,0,5,12,2,5,17,0,8,10,6,7,0,3,7
                         ,MUSIQUE ADULTES    ,74,72,28,74,176,22,67,51,55,179,0,32,34,34,94,114,0,26,78,40,36,0,96,103
                         ,MUSIQUE            ,1,2,1,2,4,1,0,1,3,3,0,0,0,1,4,2,0,4,1,1,1,0,7,1
                         ,MUSIQUE JEUNESSE   ,5,43,9,2,44,0,11,4,1,9,0,2,7,6,18,8,0,13,12,2,6,0,6,6
                         ,PHILOSOPHIE        ,6,8,5,6,10,4,4,7,2,18,0,10,9,4,8,14,0,1,40,6,4,0,4,2
                         ,PRESSE             ,27,16,6,30,63,24,25,10,29,33,0,11,21,22,3,35,0,22,18,14,13,0,37,34
                         ,FONDS PRO          ,0,0,1,0,0,0,4,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,8,7,6,1,22,5,3,0,1,9,0,9,1,9,0,8,5,3,12,7,2,0,3,12
                         ,RELIGIONS          ,0,6,1,2,1,2,0,3,0,3,0,2,0,0,1,1,0,0,4,1,1,0,1,4
                         ,ROMANS ADULTES     ,88,123,64,79,179,71,57,73,96,130,0,117,88,61,101,148,0,73,257,66,113,1,114,78
                         ,ROMANS JEUNESSE    ,2,93,13,15,119,19,51,7,11,133,0,22,55,33,41,77,0,11,57,18,36,0,31,66
                         ,SCIENCES           ,9,56,8,13,59,14,33,10,10,33,0,10,26,15,7,57,0,4,32,1,15,0,13,57
                         ,SOCIETE            ,14,35,9,13,46,12,12,15,7,19,0,17,27,8,6,28,0,14,59,14,20,0,23,20
                         ,SPORTS ET LOISIRS  ,2,6,1,1,7,0,5,0,2,5,0,3,10,0,0,9,0,2,7,4,8,0,1,6
                         ,VIE PRATIQUE       ,13,37,10,17,71,15,28,8,17,36,3,18,24,7,16,47,1,57,34,17,29,0,28,63
                         ,THEATRE            ,2,11,5,3,43,2,21,1,21,28,0,29,11,28,0,18,0,50,18,4,2,0,14,14
                         ,xx                 ,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Bellevue                 ,TOTAL              ,456,746,30,234,0,235,475,19,163,0,228,190,483,67,149,0,230,158,470,16,0,282,302,557
                         ,ALBUMS             ,117,238,26,45,0,62,75,12,43,0,68,26,86,43,29,0,59,42,69,4,0,53,61,102
                         ,ARTS               ,3,6,0,6,0,5,2,0,0,0,0,0,1,0,2,0,2,1,2,0,0,2,2,10
                         ,GRAPHISME          ,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,3
                         ,BD ADULTES         ,17,19,0,17,0,6,9,1,1,0,6,1,15,1,15,0,5,4,11,4,0,13,7,14
                         ,BD JEUNESSE        ,97,173,0,39,0,59,126,1,26,0,23,50,134,15,25,0,45,49,148,0,0,23,76,126
                         ,CINEMA ADULTES     ,14,23,0,26,0,0,19,0,10,0,2,5,12,2,8,0,17,1,9,0,0,31,19,12
                         ,CINEMA JEUNESSE    ,18,31,1,8,0,12,22,0,12,0,17,3,14,0,6,0,10,5,28,0,0,26,4,26
                         ,CINEMA             ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,DANSE              ,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,3,0,0,1,2,1
                         ,GEOGRAPHIE         ,5,10,0,2,0,2,2,0,2,0,3,6,8,0,5,0,7,1,10,0,0,1,2,14
                         ,HISTOIRE           ,3,1,0,0,0,1,1,0,0,0,0,2,3,0,3,0,1,0,1,0,0,2,0,4
                         ,INFORMATIQUE       ,2,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
                         ,JEUX A REGLES      ,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,LANGUES            ,3,4,0,1,0,4,6,0,0,0,3,0,3,0,0,0,3,0,1,0,0,4,0,5
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
                         ,LOISIRS CREATIFS   ,5,4,0,1,0,2,0,0,1,0,1,8,3,0,1,0,2,0,4,0,0,12,7,9
                         ,MUSIQUE ADULTES    ,10,11,0,12,0,4,5,0,11,0,2,7,30,0,1,0,4,10,10,0,0,4,2,8
                         ,MUSIQUE JEUNESSE   ,10,10,1,3,0,3,1,1,0,0,4,2,12,1,1,0,5,1,5,0,0,3,3,6
                         ,PHILOSOPHIE        ,4,3,0,0,0,1,0,0,0,0,0,0,5,0,2,0,5,0,7,0,0,0,2,3
                         ,PRESSE             ,16,25,0,24,0,25,37,0,8,0,11,24,30,0,8,0,5,4,42,0,0,31,12,39
                         ,PSYCHOLOGIE        ,0,2,0,2,0,2,0,0,3,0,1,2,4,0,1,0,1,4,5,0,0,2,6,7
                         ,RELIGIONS          ,3,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
                         ,ROMANS ADULTES     ,23,62,0,12,0,27,28,1,26,0,59,6,30,0,13,0,25,18,22,7,0,27,17,39
                         ,ROMANS JEUNESSE    ,57,84,1,22,0,10,110,1,9,0,16,26,50,0,13,0,15,9,58,1,0,20,48,72
                         ,SCIENCES           ,11,18,0,0,0,4,11,2,2,0,5,2,20,0,2,0,7,4,12,0,0,4,7,25
                         ,SOCIETE            ,15,5,0,4,0,3,1,0,0,0,2,4,3,0,4,0,3,0,6,0,0,5,3,5
                         ,SPORTS ET LOISIRS  ,1,3,0,1,0,0,5,0,1,0,0,1,5,2,3,0,3,0,4,0,0,2,7,5
                         ,VIE PRATIQUE       ,11,11,1,5,0,2,12,0,7,0,3,12,11,1,4,0,5,3,11,0,0,8,12,13
                         ,THEATRE            ,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
                         ,xx                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ludothèque Municipale,TOTAL              ,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
                         ,ALBUMS             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
                         ,BD ADULTES         ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,JEUX A REGLES      ,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,188,350,126,225,449,203,287,196,192,403,6,213,220,194,292,336,5,240,231,144,171,12,173,423
