Lieu de prêt,Emplacement,"Nb prêt
03/07/17","Nb prêt
04/07/17","Nb prêt
05/07/17","Nb prêt
06/07/17","Nb prêt
07/07/17","Nb prêt
10/07/17","Nb prêt
11/07/17","Nb prêt
12/07/17","Nb prêt
13/07/17","Nb prêt
17/07/17","Nb prêt
18/07/17","Nb prêt
19/07/17","Nb prêt
20/07/17","Nb prêt
21/07/17","Nb prêt
24/07/17","Nb prêt
25/07/17","Nb prêt
26/07/17","Nb prêt
27/07/17","Nb prêt
28/07/17","Nb prêt
31/07/17"
TOTAL                    ,                   ,225,1466,1921,877,1082,363,1868,1898,1197,293,1299,1838,1096,1157,198,1385,1834,971,1109,173
Bourg                    ,TOTAL              ,0,149,232,1,156,0,180,166,0,0,123,189,0,163,0,0,0,1,0,0
                         ,ALBUMS             ,0,39,46,0,17,0,34,27,0,0,16,76,0,22,0,0,0,0,0,0
                         ,ARTS               ,0,10,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
                         ,GRAPHISME          ,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,8,12,0,3,0,17,12,0,0,11,4,0,9,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,20,65,0,15,0,26,24,0,0,13,10,0,35,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,3,5,0,9,0,5,4,0,0,3,2,0,2,0,0,0,0,0,0
                         ,HISTOIRE           ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
                         ,LETTRES            ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
