Lieu de prêt,Emplacement,"Nb prêt
01/03/18","Nb prêt
02/03/18","Nb prêt
03/03/18","Nb prêt
05/03/18","Nb prêt
06/03/18","Nb prêt
07/03/18","Nb prêt
08/03/18","Nb prêt
09/03/18","Nb prêt
10/03/18","Nb prêt
12/03/18","Nb prêt
13/03/18","Nb prêt
14/03/18","Nb prêt
15/03/18","Nb prêt
16/03/18","Nb prêt
17/03/18","Nb prêt
19/03/18","Nb prêt
20/03/18","Nb prêt
21/03/18","Nb prêt
22/03/18","Nb prêt
23/03/18","Nb prêt
24/03/18","Nb prêt
26/03/18","Nb prêt
27/03/18","Nb prêt
28/03/18","Nb prêt
29/03/18","Nb prêt
30/03/18","Nb prêt
31/03/18"
TOTAL                    ,                   ,896,1528,1727,218,2008,1946,980,1571,1764,354,1136,2947,520,895,2782,328,1218,2625,451,1126,2502,223,1005,2492,763,929,2463
Bourg                    ,TOTAL              ,0,114,0,0,121,224,0,99,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ALBUMS             ,0,33,0,0,13,46,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ARTS               ,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,10,0,0,23,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,8,0,0,12,37,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,HISTOIRE           ,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,0,5,0,0,12,16,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PHILOSOPHIE        ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,18,0,0,3,21,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,1,0,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,16,0,0,37,46,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,12,0,0,2,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SCIENCES           ,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE            ,0,2,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,2,0,0,1,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haute-Chaussée           ,TOTAL              ,10,15,0,0,0,39,3,19,0,0,1,55,8,12,0,0,19,72,10,16,0,0,10,77,26,20,0
                         ,ALBUMS             ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
                         ,ARTS               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
                         ,HISTOIRE           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,2,1,0,0,0,10,0,0,0,0,0,6,1,2,0,0,0,11,1,0,0,0,4,15,0,0,0
                         ,JEUX D'EXERCICES   ,0,1,0,0,0,8,2,9,0,0,0,16,5,1,0,0,3,12,0,0,0,0,0,15,3,4,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,2,7,0,0,0,15,1,4,0,0,0,21,1,9,0,0,2,25,6,3,0,0,3,36,5,8,0
                         ,JEUX SYMBOLIQUES   ,5,2,0,0,0,3,0,5,0,0,0,5,1,0,0,0,2,10,3,2,0,0,0,6,0,4,0
                         ,JEUX VIDEO         ,1,2,0,0,0,1,0,1,0,0,0,5,0,0,0,0,1,6,0,3,0,0,0,4,2,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,15,4,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0
                         ,SOCIETE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
                         ,SPORTS ET LOISIRS  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,THEATRE            ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,692,967,1715,2,1269,1024,721,778,1764,37,472,1602,383,411,2222,6,607,1430,356,647,2081,4,587,1407,456,493,2103
                         ,ALBUMS             ,80,115,233,0,237,221,87,88,307,5,85,303,41,71,284,3,54,256,70,119,288,1,78,204,42,24,258
                         ,ARTS               ,8,31,45,0,23,6,8,4,31,3,7,17,15,16,27,3,11,23,10,9,31,0,14,13,20,18,25
                         ,GRAPHISME          ,1,1,3,0,9,3,1,2,8,2,1,7,0,1,8,0,4,3,1,5,8,0,0,4,1,0,12
                         ,AUTOUR DU JEU      ,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0
                         ,BD ADULTES         ,40,47,111,0,89,36,50,44,158,0,3,86,18,60,173,0,56,70,31,36,173,0,41,58,23,36,133
                         ,BD JEUNESSE        ,165,116,219,0,175,96,130,126,319,2,40,233,32,20,434,0,56,257,24,55,396,0,81,255,14,29,420
                         ,CINEMA ADULTES     ,34,74,143,1,70,62,53,88,113,4,30,113,22,33,154,0,50,59,17,54,115,0,24,99,54,49,176
                         ,CINEMA JEUNESSE    ,32,42,58,0,68,38,32,26,56,0,14,51,13,7,93,0,12,49,8,10,59,0,15,42,6,10,84
                         ,CINEMA             ,0,1,2,0,3,0,1,1,2,0,0,4,0,0,4,0,2,0,1,0,0,0,0,3,1,0,3
                         ,DANSE              ,14,3,17,0,10,0,9,4,11,0,6,1,0,0,12,0,0,15,0,8,6,0,1,5,3,1,6
                         ,GEOGRAPHIE         ,12,16,31,0,21,32,12,14,18,0,4,40,21,1,53,0,11,32,8,10,31,0,16,29,10,9,40
                         ,HISTOIRE           ,7,12,26,0,9,12,12,21,11,0,25,16,9,11,27,0,16,14,6,9,63,0,11,19,10,4,38
                         ,INFORMATIQUE       ,4,2,11,0,1,4,2,1,10,0,6,1,4,2,7,0,2,8,3,2,7,0,5,7,1,7,17
                         ,JEUX D'ASSEMBLAGE  ,8,2,9,0,6,16,0,9,15,0,5,11,4,2,26,0,3,14,12,2,13,0,3,10,4,2,15
                         ,JEUX D'EXERCICES   ,0,3,9,0,3,4,11,13,7,0,0,14,4,3,22,0,0,14,4,4,20,0,10,9,4,3,18
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX               ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX A REGLES      ,15,25,60,0,32,20,22,18,37,1,9,53,6,4,81,0,18,25,13,10,72,0,15,26,11,16,85
                         ,JEUX SYMBOLIQUES   ,4,8,18,0,17,14,6,11,13,0,5,18,3,4,37,0,3,23,3,5,16,0,4,27,5,2,22
                         ,JEUX VIDEO         ,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2
                         ,LANGUES            ,9,5,14,0,4,14,2,4,17,0,3,3,3,6,16,0,3,8,1,1,7,0,0,11,2,2,10
                         ,LETTRES            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LITTERATURE        ,3,1,6,0,3,11,2,1,1,0,2,4,2,0,3,0,1,3,0,0,6,1,0,1,1,1,2
                         ,LOISIRS CREATIFS   ,8,13,8,0,8,15,8,7,17,0,1,21,4,4,31,0,9,10,9,19,20,0,4,11,6,9,18
                         ,MUSIQUE ADULTES    ,23,89,154,0,114,66,33,42,129,0,36,112,26,26,120,0,95,87,8,65,115,1,48,95,40,43,124
                         ,MUSIQUE            ,0,1,2,0,2,0,1,2,1,0,0,1,0,1,0,0,3,0,0,1,0,0,2,1,1,0,4
                         ,MUSIQUE JEUNESSE   ,11,11,25,0,16,9,5,6,18,0,4,23,2,7,21,0,2,15,7,17,25,0,5,21,1,10,18
                         ,PHILOSOPHIE        ,1,1,8,0,2,3,6,9,3,0,7,7,0,0,13,0,3,3,1,2,11,0,0,1,0,1,11
                         ,PRESSE             ,16,39,59,0,46,31,37,32,76,1,23,86,40,19,89,0,26,63,28,36,95,0,34,55,26,33,63
                         ,FONDS PRO          ,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
                         ,PSYCHOLOGIE        ,2,21,19,0,15,10,6,4,11,0,5,11,2,3,4,0,7,8,3,7,6,0,10,12,9,4,16
                         ,RELIGIONS          ,1,2,10,0,0,9,4,2,4,0,2,10,2,1,4,0,6,4,0,5,8,0,0,4,0,3,5
                         ,ROMANS ADULTES     ,72,116,139,0,133,148,84,74,137,1,73,118,61,77,139,0,88,151,52,81,113,1,86,159,74,85,159
                         ,ROMANS JEUNESSE    ,58,71,108,0,40,41,40,57,88,13,13,102,11,12,145,0,11,96,12,15,177,0,25,89,27,21,172
                         ,SCIENCES           ,24,13,45,0,28,21,8,15,30,0,9,60,4,8,53,0,9,39,5,11,77,0,8,36,9,15,37
                         ,SOCIETE            ,8,37,44,1,27,28,13,13,12,2,6,21,17,0,38,0,13,19,3,19,39,0,15,33,19,8,32
                         ,SPORTS ET LOISIRS  ,0,10,3,0,2,8,0,3,19,0,0,8,1,2,8,0,2,6,3,8,14,0,0,12,2,1,0
                         ,VIE PRATIQUE       ,9,28,58,0,31,14,23,21,47,2,37,23,14,9,58,0,27,44,11,14,50,0,29,37,22,20,45
                         ,THEATRE            ,19,11,18,0,24,17,12,16,35,1,11,23,0,0,36,0,3,12,0,8,12,0,3,16,6,26,31
                         ,VERSION ORIGINALE  ,3,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0
                         ,xx                 ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bellevue                 ,TOTAL              ,5,186,0,216,122,327,0,294,0,317,320,772,0,211,0,322,339,623,6,227,0,201,212,618,18,268,0
                         ,ALBUMS             ,1,35,0,58,8,40,0,71,0,79,79,242,0,43,0,60,60,137,1,38,0,43,54,107,2,50,0
                         ,ARTS               ,0,1,0,0,1,4,0,3,0,1,1,9,0,0,0,2,5,1,0,0,0,1,0,0,0,0,0
                         ,GRAPHISME          ,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,20,0,10,5,32,0,14,0,11,17,35,0,19,0,15,22,27,0,17,0,7,13,50,0,15,0
                         ,BD JEUNESSE        ,0,32,0,38,24,89,0,69,0,64,73,143,0,40,0,54,89,157,2,38,0,45,51,170,11,63,0
                         ,CINEMA ADULTES     ,0,9,0,15,26,9,0,9,0,18,6,28,0,9,0,12,8,18,0,23,0,12,5,29,0,18,0
                         ,CINEMA JEUNESSE    ,1,17,0,18,4,5,0,9,0,21,8,24,0,5,0,8,17,22,0,7,0,8,11,35,0,11,0
                         ,CINEMA             ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
                         ,GEOGRAPHIE         ,0,3,0,2,0,10,0,5,0,0,4,7,0,4,0,2,7,10,0,8,0,3,0,7,0,2,0
                         ,HISTOIRE           ,0,0,0,0,0,1,0,3,0,1,1,4,0,3,0,2,1,5,0,1,0,2,2,0,1,1,0
                         ,INFORMATIQUE       ,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,0,1,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,JEUX A REGLES      ,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,5,0,0,0,2,0,1,0
