Lieu de prêt,Emplacement,"Nb prêt
02/05/18","Nb prêt
03/05/18","Nb prêt
04/05/18","Nb prêt
05/05/18","Nb prêt
07/05/18","Nb prêt
09/05/18","Nb prêt
11/05/18","Nb prêt
12/05/18","Nb prêt
14/05/18","Nb prêt
15/05/18","Nb prêt
16/05/18","Nb prêt
17/05/18","Nb prêt
18/05/18","Nb prêt
19/05/18","Nb prêt
22/05/18","Nb prêt
23/05/18","Nb prêt
24/05/18","Nb prêt
25/05/18","Nb prêt
26/05/18","Nb prêt
28/05/18","Nb prêt
29/05/18","Nb prêt
30/05/18","Nb prêt
31/05/18"
TOTAL                    ,                   ,2264,1293,1392,1478,8,1752,1550,2431,447,1317,2550,739,1014,2074,628,2435,619,928,2346,265,1083,2581,665
Haute-Chaussée           ,TOTAL              ,69,40,25,0,0,0,0,0,0,11,47,27,11,0,5,100,28,12,0,0,14,60,18
                         ,ALBUMS             ,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,1
                         ,GRAPHISME          ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,12,7,2,0,0,0,0,0,0,3,4,2,1,0,1,15,1,1,0,0,0,9,3
                         ,JEUX D'EXERCICES   ,11,5,3,0,0,0,0,0,0,1,11,2,7,0,0,13,4,2,0,0,1,15,0
                         ,JEUX A REGLES      ,10,13,12,0,0,0,0,0,0,2,23,16,1,0,1,21,12,4,0,0,5,18,14
