Emplacement,"Nb prêt
01/06/18","Nb prêt
02/06/18","Nb prêt
04/06/18","Nb prêt
05/06/18","Nb prêt
06/06/18","Nb prêt
07/06/18","Nb prêt
08/06/18","Nb prêt
09/06/18","Nb prêt
11/06/18","Nb prêt
12/06/18","Nb prêt
13/06/18","Nb prêt
14/06/18","Nb prêt
15/06/18","Nb prêt
16/06/18","Nb prêt
18/06/18","Nb prêt
19/06/18","Nb prêt
20/06/18","Nb prêt
21/06/18","Nb prêt
22/06/18","Nb prêt
23/06/18","Nb prêt
25/06/18","Nb prêt
26/06/18","Nb prêt
27/06/18","Nb prêt
28/06/18","Nb prêt
29/06/18","Nb prêt
30/06/18"
                   ,1081,1857,233,1033,2588,674,871,2199,210,1139,2051,660,660,1823,231,932,2082,606,935,2090,202,1091,1989,549,806,1642
TOTAL              ,7,0,0,2,46,25,1,0,0,16,86,27,11,0,0,2,19,30,2,0,0,13,52,6,8,0
ALBUMS             ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOGRAPHIE         ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JEUX D'ASSEMBLAGE  ,0,0,0,0,7,1,0,0,0,0,6,2,2,0,0,0,3,2,0,0,0,0,12,0,0,0
JEUX D'EXERCICES   ,0,0,0,0,2,14,0,0,0,0,16,0,2,0,0,0,0,16,0,0,0,0,4,0,0,0
JEUX A REGLES      ,3,0,0,0,12,7,0,0,0,9,27,19,6,0,0,0,12,1,0,0,0,12,25,1,1,0
JEUX SYMBOLIQUES   ,2,0,0,0,11,2,0,0,0,1,16,3,1,0,0,0,2,9,1,0,0,0,7,1,1,0
JEUX VIDEO         ,1,0,0,0,8,0,1,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,1,4,0,0
PRESSE             ,1,0,0,2,6,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ROMANS ADULTES     ,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,2,0,1,0,0,1,0,0,6,0
