Lieu de prêt,Emplacement,"Nb prêt
02/11/18","Nb prêt
03/11/18","Nb prêt
05/11/18","Nb prêt
06/11/18","Nb prêt
07/11/18","Nb prêt
08/11/18","Nb prêt
09/11/18","Nb prêt
10/11/18","Nb prêt
12/11/18","Nb prêt
13/11/18","Nb prêt
14/11/18","Nb prêt
15/11/18","Nb prêt
16/11/18","Nb prêt
17/11/18","Nb prêt
19/11/18","Nb prêt
20/11/18","Nb prêt
21/11/18","Nb prêt
22/11/18","Nb prêt
23/11/18","Nb prêt
24/11/18","Nb prêt
26/11/18","Nb prêt
27/11/18","Nb prêt
28/11/18","Nb prêt
29/11/18","Nb prêt
30/11/18"
TOTAL                    ,                   ,1613,2011,269,1387,2857,813,1380,2827,373,1214,2691,474,1109,2348,240,1120,2623,620,814,2677,295,1217,2755,700,1075
Haute-Chaussée           ,TOTAL              ,28,0,0,24,80,24,24,0,0,10,74,14,20,0,0,23,72,25,9,0,0,16,67,13,20
                         ,ALBUMS             ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,1,0,0,0
                         ,ARTS               ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,BD JEUNESSE        ,0,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,CINEMA             ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,7,0,0,2,14,1,2,0,0,1,11,0,2,0,0,1,9,5,0,0,0,2,9,2,0
                         ,JEUX D'EXERCICES   ,2,0,0,2,11,5,3,0,0,0,11,2,2,0,0,2,16,6,2,0,0,0,9,3,2
                         ,JEUX A REGLES      ,10,0,0,10,24,7,5,0,0,7,22,7,9,0,0,4,32,9,3,0,0,5,25,1,14
                         ,JEUX SYMBOLIQUES   ,6,0,0,3,15,7,6,0,0,1,8,3,2,0,0,1,9,3,1,0,0,3,8,1,1
                         ,JEUX VIDEO         ,0,0,0,3,4,1,0,0,0,0,6,0,1,0,0,0,1,1,2,0,0,2,4,0,0
                         ,LANGUES            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,PRESSE             ,0,0,0,0,9,0,0,0,0,0,10,0,4,0,0,0,1,0,1,0,0,0,10,4,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,RELIGIONS          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,3,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0
                         ,SCIENCES           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,1137,1965,9,731,1427,620,749,2368,0,632,1498,324,546,1970,13,632,1395,465,513,2162,13,633,1530,577,544
