Lieu de prêt,Emplacement,"Nb prêt
03/12/18","Nb prêt
04/12/18","Nb prêt
05/12/18","Nb prêt
06/12/18","Nb prêt
07/12/18","Nb prêt
08/12/18","Nb prêt
10/12/18","Nb prêt
11/12/18","Nb prêt
12/12/18","Nb prêt
13/12/18","Nb prêt
14/12/18","Nb prêt
15/12/18","Nb prêt
17/12/18","Nb prêt
18/12/18","Nb prêt
19/12/18","Nb prêt
20/12/18","Nb prêt
21/12/18","Nb prêt
22/12/18","Nb prêt
26/12/18","Nb prêt
27/12/18","Nb prêt
28/12/18","Nb prêt
29/12/18"
TOTAL                    ,                   ,264,1128,2239,790,1213,2129,354,1018,2406,646,1247,2434,341,1410,2892,738,1001,1892,1414,1183,1644,1227
Haute-Chaussée           ,TOTAL              ,0,1,58,23,93,0,0,6,113,12,17,0,0,13,54,23,13,0,0,0,0,0
                         ,ALBUMS             ,0,0,0,0,0,0,0,1,20,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,9,3,14,0,0,0,9,0,1,0,0,0,5,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,4,0,29,0,0,1,20,1,0,0,0,3,3,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,1,25,8,26,0,0,0,37,4,13,0,0,6,18,13,9,0,0,0,0,0
                         ,JEUX SYMBOLIQUES   ,0,0,4,5,17,0,0,0,8,0,0,0,0,2,5,0,1,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,5,0,2,0,0,0,10,0,0,0,0,0,3,0,3,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,8,6,5,0,0,1,2,7,2,0,0,0,20,10,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,SCIENCES           ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,17,607,1190,559,626,1805,11,502,1263,503,712,2031,10,570,1572,455,575,1892,834,880,1069,1227
                         ,ALBUMS             ,0,50,185,73,124,282,0,78,238,64,85,384,0,18,233,57,66,267,141,100,103,174
                         ,ARTS               ,0,7,19,23,11,15,0,4,17,8,13,30,0,7,44,9,5,30,18,7,13,9
                         ,GRAPHISME          ,0,4,2,2,2,8,0,3,6,0,4,11,0,1,9,2,3,9,1,14,6,3
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
                         ,BD ADULTES         ,0,39,87,34,47,90,0,25,32,41,63,184,0,61,96,33,40,139,37,59,62,68
                         ,BD JEUNESSE        ,0,55,182,75,53,379,0,43,193,59,87,316,7,67,316,57,68,331,107,144,164,242
                         ,CINEMA ADULTES     ,1,61,88,39,71,104,0,29,78,36,53,126,0,74,85,59,52,117,101,74,98,121
                         ,CINEMA JEUNESSE    ,6,9,32,13,23,77,0,9,40,13,21,76,0,8,47,2,35,73,21,34,29,56
                         ,CINEMA             ,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,2,2,3
                         ,DANSE              ,0,10,3,0,5,15,7,0,2,1,10,4,0,0,9,0,0,2,0,1,6,0
                         ,GEOGRAPHIE         ,0,10,11,15,16,12,0,4,20,13,6,13,0,2,15,14,6,28,12,11,23,18
                         ,HISTOIRE           ,0,8,8,10,6,24,0,6,27,7,12,16,0,5,12,9,5,27,8,4,20,13
                         ,INFORMATIQUE       ,0,1,7,1,6,8,0,1,3,1,5,15,0,0,5,3,2,14,7,7,2,7
                         ,JEUX D'ASSEMBLAGE  ,0,2,8,2,3,13,0,2,11,8,7,15,0,1,5,5,1,9,4,8,8,5
                         ,JEUX D'EXERCICES   ,0,1,15,1,10,11,0,2,18,3,5,13,0,6,8,0,3,6,10,17,5,8
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX A REGLES      ,0,4,42,26,16,58,0,5,49,20,14,87,0,5,64,5,16,75,19,31,26,43
                         ,JEUX SYMBOLIQUES   ,0,3,11,7,19,20,0,8,17,5,4,27,0,2,12,1,7,20,11,5,5,5
                         ,JEUX VIDEO         ,0,2,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
                         ,LANGUES            ,0,2,2,2,2,8,0,4,10,1,1,25,0,2,9,4,1,15,5,7,7,21
                         ,LITTERATURE        ,0,1,8,1,0,1,0,0,7,2,0,2,0,0,1,0,2,3,1,3,2,0
                         ,LOISIRS CREATIFS   ,0,3,12,6,2,19,0,4,13,7,6,15,0,17,20,4,6,14,4,5,8,12
                         ,MUSIQUE ADULTES    ,10,57,67,27,43,92,0,58,85,9,47,109,0,35,102,35,37,106,52,64,114,56
                         ,MUSIQUE            ,0,5,0,0,0,0,0,0,1,0,0,6,0,0,1,0,1,0,0,2,2,0
                         ,MUSIQUE JEUNESSE   ,0,2,14,6,5,14,1,1,27,5,26,13,0,3,18,2,6,26,5,8,7,11
                         ,PHILOSOPHIE        ,0,2,5,2,0,12,0,4,8,2,0,10,0,5,8,0,1,8,7,2,8,1
