Lieu de prêt,Emplacement,"Nb prêt
01/02/19","Nb prêt
02/02/19","Nb prêt
04/02/19","Nb prêt
05/02/19","Nb prêt
06/02/19","Nb prêt
07/02/19","Nb prêt
08/02/19","Nb prêt
09/02/19","Nb prêt
11/02/19","Nb prêt
12/02/19","Nb prêt
13/02/19","Nb prêt
14/02/19","Nb prêt
15/02/19","Nb prêt
16/02/19","Nb prêt
18/02/19","Nb prêt
19/02/19","Nb prêt
20/02/19","Nb prêt
21/02/19","Nb prêt
22/02/19","Nb prêt
23/02/19","Nb prêt
25/02/19","Nb prêt
26/02/19","Nb prêt
27/02/19","Nb prêt
28/02/19"
TOTAL                    ,                   ,1084,2532,282,1355,2394,594,1120,2761,337,1482,1572,796,1411,1695,277,2012,2092,1206,1601,1683,340,1207,2327,660
Haute Chaussée           ,TOTAL              ,25,0,0,34,74,40,39,0,0,3,17,31,19,0,0,18,27,29,14,0,0,10,70,34
                         ,ALBUMS             ,0,0,0,21,10,8,0,0,0,1,2,1,0,0,0,1,2,1,1,0,0,4,7,4
                         ,ARTS               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,1,1,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,JEUX D'ASSEMBLAGE  ,4,0,0,0,16,0,10,0,0,0,2,3,1,0,0,0,1,0,5,0,0,0,8,8
                         ,JEUX D'EXERCICES   ,4,0,0,0,6,1,6,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0,13,10
                         ,GRANDS JEUX        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,14,0,0,0,29,17,18,0,0,2,2,3,0,0,0,10,6,13,1,0,0,0,21,2
                         ,JEUX SYMBOLIQUES   ,1,0,0,0,7,1,4,0,0,0,5,9,0,0,0,0,2,1,1,0,0,0,7,9
                         ,JEUX VIDEO         ,2,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,2,3,1,0,0,0,2,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,PHILOSOPHIE        ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,4,13,0,0,0,0,1,2,10,0,0,3,9,8,0,0,0,1,2,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1
                         ,SCIENCES           ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
                         ,SOCIETE            ,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
                         ,THEATRE            ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,631,2070,13,806,1189,372,661,2369,0,905,939,619,807,1654,5,1237,1369,870,915,1651,23,731,1126,457
                         ,ALBUMS             ,82,270,0,142,212,47,93,362,0,108,158,77,78,209,0,79,307,162,129,201,0,80,157,55
                         ,ARTS               ,21,32,1,21,21,8,8,42,0,9,8,9,11,22,0,13,27,31,8,40,2,14,35,11
                         ,GRAPHISME          ,1,20,5,4,6,3,0,3,0,3,0,1,3,5,0,7,3,3,4,9,0,9,3,1
                         ,AUTOUR DU JEU      ,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,58,92,0,40,45,25,15,161,0,75,21,38,27,108,2,81,50,51,45,100,2,16,41,34
                         ,BD JEUNESSE        ,55,437,5,122,241,37,84,467,0,154,185,53,148,267,0,252,218,160,114,371,0,80,205,29
                         ,CINEMA ADULTES     ,35,203,0,54,59,40,63,182,0,70,85,62,64,126,0,87,59,44,110,127,0,51,70,49
                         ,CINEMA JEUNESSE    ,26,69,0,16,54,4,23,135,0,32,23,16,13,65,0,38,43,17,32,33,3,24,29,6
                         ,DANSE              ,16,5,0,2,5,2,2,17,0,4,0,5,6,5,0,6,3,2,9,7,1,7,1,5
                         ,GEOGRAPHIE         ,9,37,1,33,24,13,14,36,0,14,15,15,18,30,1,16,22,5,33,16,0,18,28,5
                         ,HISTOIRE           ,14,29,0,6,8,3,5,16,0,11,6,8,16,9,0,15,22,13,2,28,0,7,15,5
                         ,INFORMATIQUE       ,1,9,0,3,6,1,8,12,0,2,6,2,4,7,0,6,8,4,3,22,0,4,9,5
                         ,JEUX D'ASSEMBLAGE  ,6,9,0,9,5,2,7,25,0,2,6,4,5,5,0,4,15,6,7,8,0,7,5,7
                         ,JEUX D'EXERCICES   ,9,6,0,4,7,0,2,13,0,1,10,3,3,6,0,4,11,0,3,7,0,3,15,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,16,64,0,13,48,13,9,110,0,30,41,12,31,58,0,41,39,24,35,43,0,9,44,11
                         ,JEUX SYMBOLIQUES   ,5,10,0,8,15,1,1,28,0,7,12,6,6,16,0,8,14,12,9,12,0,3,10,5
                         ,JEUX VIDEO         ,0,0,0,0,0,0,1,2,0,2,4,1,1,1,0,2,1,2,1,1,0,2,0,0
                         ,LANGUES            ,0,5,0,2,4,5,7,19,0,8,8,5,4,21,0,5,6,6,3,7,0,3,5,2
                         ,LITTERATURE        ,0,7,0,0,0,1,3,4,0,0,0,0,3,3,0,6,3,2,3,2,0,1,1,0
                         ,LOISIRS CREATIFS   ,5,13,0,15,13,1,10,27,0,11,14,15,10,11,0,13,23,18,4,16,0,2,17,1
                         ,MUSIQUE ADULTES    ,53,113,0,39,65,30,79,103,0,49,48,36,68,149,0,62,57,38,65,86,4,61,46,30
                         ,MUSIQUE JEUNESSE   ,12,18,0,7,17,5,2,19,0,7,37,2,0,4,0,10,6,5,1,22,0,14,20,12
                         ,PHILOSOPHIE        ,3,5,0,16,1,0,5,16,0,5,3,2,4,3,0,8,2,2,8,3,0,0,4,2
                         ,PRESSE             ,25,81,0,33,52,8,19,101,0,31,23,23,54,74,0,93,97,31,43,32,2,36,69,16
                         ,FONDS PRO          ,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,5,32,0,4,12,3,9,7,0,9,16,5,15,11,0,15,24,12,3,8,1,7,8,4
                         ,RELIGIONS          ,4,15,0,2,2,7,1,7,0,6,2,1,2,13,0,1,7,1,3,2,0,3,3,2
                         ,ROMANS ADULTES     ,88,139,1,134,77,58,109,169,0,141,88,81,82,148,0,146,110,82,85,154,0,130,93,66
                         ,ROMANS JEUNESSE    ,32,160,0,26,93,15,32,117,0,54,33,43,44,86,2,90,83,58,39,109,7,53,89,31
                         ,SCIENCES           ,12,49,0,9,32,13,6,44,0,16,41,17,11,48,0,32,30,33,19,45,1,10,29,15
                         ,SOCIETE            ,6,22,0,16,12,8,9,31,0,13,12,8,30,44,0,25,15,12,12,22,0,13,24,21
                         ,SPORTS ET LOISIRS  ,1,7,0,3,0,0,3,7,0,5,4,5,3,14,0,9,5,3,4,8,0,2,5,1
                         ,VIE PRATIQUE       ,21,66,0,16,28,13,21,71,0,22,21,25,21,54,0,40,34,25,29,93,0,13,25,19
                         ,THEATRE            ,9,45,0,7,25,6,11,12,0,3,7,38,19,29,0,22,22,4,50,16,0,47,20,7
                         ,VERSION ORIGINALE  ,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,0
                         ,xx                 ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Bellevue                 ,TOTAL              ,215,0,254,260,627,15,236,0,332,134,226,4,238,0,272,216,348,0,349,0,317,239,687,23
                         ,ALBUMS             ,48,0,39,34,122,11,30,0,52,35,32,0,49,0,40,57,93,0,132,0,69,72,181,13
                         ,ARTS               ,2,0,3,1,9,0,3,0,1,0,6,0,2,0,1,10,1,0,2,0,1,3,10,0
                         ,GRAPHISME          ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,5,0,15,11,12,0,8,0,17,3,12,0,12,0,5,15,27,0,3,0,10,11,38,1
                         ,BD JEUNESSE        ,51,0,74,76,153,0,57,0,36,33,47,0,26,0,83,42,49,0,45,0,51,50,175,2
                         ,CINEMA ADULTES     ,15,0,9,11,11,1,10,0,15,10,21,4,26,0,10,7,18,0,19,0,13,6,17,1
                         ,CINEMA JEUNESSE    ,6,0,22,11,16,1,8,0,22,4,5,0,2,0,22,7,7,0,1,0,13,11,24,0
                         ,DANSE              ,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,2,0,5,3,3,0,4,0,5,2,6,0,3,0,4,1,0,0,4,0,5,0,8,0
                         ,HISTOIRE           ,2,0,0,6,2,0,0,0,1,1,2,0,1,0,0,1,1,0,0,0,2,8,2,1
                         ,INFORMATIQUE       ,0,0,1,2,4,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,2,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,LIVRES SUR LES JEUX,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
                         ,JEUX A REGLES      ,5,0,0,1,6,0,0,0,0,1,0,0,1,0,0,0,16,0,0,0,7,0,3,0
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,1,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0
                         ,LANGUES            ,1,0,1,1,2,0,0,0,0,1,0,0,2,0,0,7,1,0,1,0,0,1,7,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0
                         ,LOISIRS CREATIFS   ,0,0,1,2,5,0,1,0,4,1,2,0,3,0,0,0,1,0,1,0,0,4,4,0
                         ,MUSIQUE ADULTES    ,8,0,1,4,8,0,5,0,6,3,0,0,0,0,4,4,13,0,6,0,7,0,10,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,2,10,0,4,0,2,0,3,0,0,0,10,0,2,0,8,0,1,1,12,0
                         ,PHILOSOPHIE        ,2,0,0,0,0,0,4,0,23,2,1,0,0,0,5,1,2,0,0,0,4,1,2,0
                         ,PRESSE             ,13,0,22,2,47,0,9,0,19,6,4,0,12,0,9,16,20,0,38,0,13,6,17,0
                         ,FONDS PRO          ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,1,5,4,0,1,0,0,2,4,0,3,0,6,2,8,0,5,0,2,3,7,0
                         ,RELIGIONS          ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
                         ,ROMANS ADULTES     ,28,0,31,30,51,2,42,0,67,12,33,0,46,0,30,17,39,0,30,0,58,19,25,1
                         ,ROMANS JEUNESSE    ,7,0,17,36,114,0,20,0,51,15,27,0,37,0,32,4,31,0,39,0,25,21,99,1
                         ,SCIENCES           ,1,0,3,11,10,0,4,0,2,0,4,0,3,0,0,5,8,0,11,0,4,2,14,1
                         ,SOCIETE            ,9,0,2,2,7,0,14,0,3,1,3,0,1,0,1,5,1,0,3,0,19,1,5,2
                         ,SPORTS ET LOISIRS  ,5,0,1,1,5,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,2,5,0
                         ,VIE PRATIQUE       ,3,0,2,5,19,0,8,0,3,0,7,0,4,0,8,12,4,0,1,0,10,8,14,0
                         ,THEATRE            ,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
                         ,VERSION ORIGINALE  ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ludothèque            ,TOTAL              ,41,19,0,42,98,17,42,30,0,36,47,0,41,41,0,85,90,6,49,32,0,31,73,5
                         ,ALBUMS             ,1,2,0,0,1,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,1,0,0
                         ,ARTS               ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,1,0,3,3,0,0,2,0,1,1,0,4,1,0,0,5,0,2,0,0,0,0,1
                         ,BD ADULTES         ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2
                         ,BD JEUNESSE        ,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,4,5,0,6,20,0,4,0,0,2,5,0,3,1,0,9,8,0,3,6,0,5,12,0
                         ,JEUX D'EXERCICES   ,5,5,0,4,10,0,9,4,0,13,9,0,8,1,0,9,18,1,2,6,0,5,19,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GRANDS JEUX        ,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
