Lieu de prêt,Emplacement,"Nb prêt
01/03/19","Nb prêt
02/03/19","Nb prêt
04/03/19","Nb prêt
05/03/19","Nb prêt
06/03/19","Nb prêt
07/03/19","Nb prêt
08/03/19","Nb prêt
09/03/19","Nb prêt
11/03/19","Nb prêt
12/03/19","Nb prêt
13/03/19","Nb prêt
14/03/19","Nb prêt
15/03/19","Nb prêt
16/03/19","Nb prêt
18/03/19","Nb prêt
19/03/19","Nb prêt
20/03/19","Nb prêt
21/03/19","Nb prêt
22/03/19","Nb prêt
23/03/19","Nb prêt
25/03/19","Nb prêt
26/03/19","Nb prêt
27/03/19","Nb prêt
28/03/19","Nb prêt
29/03/19","Nb prêt
30/03/19"
TOTAL                    ,                   ,1289,87,348,1538,2940,597,1195,3880,374,1225,2846,705,1078,2893,228,1330,2399,697,957,1968,403,1147,2747,722,1010,2348
Haute Chaussée           ,TOTAL              ,15,0,0,47,88,29,46,0,0,9,90,33,41,0,0,18,95,13,9,0,0,10,47,25,5,0
                         ,ALBUMS             ,1,0,0,22,2,3,0,0,0,0,16,4,2,0,0,2,7,0,2,0,0,0,0,3,1,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,BD JEUNESSE        ,1,0,0,0,10,1,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,1,0,0
                         ,CINEMA JEUNESSE    ,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,4,0,0,2,11,3,3,0,0,0,8,4,5,0,0,0,12,2,0,0,0,0,5,3,0,0
                         ,JEUX D'EXERCICES   ,1,0,0,6,16,3,11,0,0,1,9,4,4,0,0,2,8,3,3,0,0,0,3,2,0,0
                         ,JEUX A REGLES      ,3,0,0,6,27,9,13,0,0,7,33,9,10,0,0,3,49,4,1,0,0,2,15,4,0,0
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,4,3,2,0,0,0,10,4,2,0,0,1,3,3,0,0,0,1,2,2,1,0
                         ,JEUX VIDEO         ,1,0,0,1,3,1,1,0,0,0,3,0,2,0,0,1,6,1,0,0,0,0,3,1,1,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
                         ,PRESSE             ,0,0,0,9,14,0,10,0,0,0,9,2,13,0,0,0,10,0,0,0,0,6,9,6,0,0
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,RELIGIONS          ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
