Lieu de prêt,Emplacement,"Nb prêt
01/05/19","Nb prêt
02/05/19","Nb prêt
03/05/19","Nb prêt
04/05/19","Nb prêt
05/05/19","Nb prêt
06/05/19","Nb prêt
07/05/19","Nb prêt
08/05/19","Nb prêt
09/05/19","Nb prêt
10/05/19","Nb prêt
11/05/19","Nb prêt
12/05/19","Nb prêt
13/05/19","Nb prêt
14/05/19","Nb prêt
15/05/19","Nb prêt
16/05/19","Nb prêt
17/05/19","Nb prêt
18/05/19","Nb prêt
19/05/19","Nb prêt
20/05/19","Nb prêt
21/05/19","Nb prêt
22/05/19","Nb prêt
23/05/19","Nb prêt
24/05/19","Nb prêt
25/05/19","Nb prêt
27/05/19","Nb prêt
28/05/19","Nb prêt
29/05/19","Nb prêt
30/05/19","Nb prêt
31/05/19"
TOTAL                    ,                   ,49,1044,1464,3412,18,328,1387,26,1210,1259,2964,70,316,980,2533,831,1320,2780,7,362,1289,1942,760,1150,2359,340,1201,2368,97,1253
Haute Chaussée           ,TOTAL              ,0,61,55,0,0,0,31,0,66,40,0,0,0,23,146,14,33,0,0,0,60,104,45,28,0,0,14,90,0,1
                         ,ALBUMS             ,0,11,24,0,0,0,12,0,16,11,0,0,0,4,44,8,9,0,0,0,7,33,23,3,0,0,1,17,0,0
                         ,ARTS               ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,1,2,0,0,0,0,0,15,1,0,0,0,5,28,0,8,0,0,0,0,7,1,5,0,0,1,7,0,0
                         ,CINEMA ADULTES     ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
                         ,HISTOIRE           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
