Lieu de prêt,Emplacement,"Nb prêt
01/08/19","Nb prêt
02/08/19","Nb prêt
05/08/19","Nb prêt
06/08/19","Nb prêt
07/08/19","Nb prêt
08/08/19","Nb prêt
09/08/19","Nb prêt
12/08/19","Nb prêt
13/08/19","Nb prêt
14/08/19","Nb prêt
16/08/19","Nb prêt
19/08/19","Nb prêt
20/08/19","Nb prêt
21/08/19","Nb prêt
22/08/19","Nb prêt
23/08/19","Nb prêt
26/08/19","Nb prêt
27/08/19","Nb prêt
28/08/19","Nb prêt
29/08/19","Nb prêt
30/08/19"
TOTAL                    ,                 ,1140,943,172,1901,1149,655,1411,82,1459,1516,1128,336,1793,1290,795,1004,190,1570,1867,1097,1275
Haute Chaussée           ,TOTAL            ,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,2,125,64,43,88
                         ,ALBUMS           ,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,57,23,8,26
                         ,BD ADULTES       ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,2
                         ,BD JEUNESSE      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,6,13
                         ,CINEMA JEUNESSE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
                         ,GEOGRAPHIE       ,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,1,4
                         ,JEUX D'ASSEMBLAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6
                         ,JEUX D'EXERCICES ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,7
                         ,JEUX A REGLES    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,7,5
                         ,JEUX SYMBOLIQUES ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,2
                         ,JEUX VIDEO       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4
                         ,MUSIQUE JEUNESSE ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
                         ,PRESSE           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,7
                         ,PSYCHOLOGIE      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,ROMANS ADULTES   ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,0
                         ,ROMANS JEUNESSE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4
                         ,SCIENCES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
                         ,SPORTS ET LOISIRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,VIE PRATIQUE     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,4
Charles-Gautier-Hermeland,TOTAL            ,893,651,30,1518,846,534,1009,34,1064,1304,833,13,1168,957,599,593,33,1180,1342,829,720
                         ,ALBUMS           ,117,71,2,192,129,69,164,1,158,152,76,0,133,123,97,130,0,79,255,149,112
                         ,ARTS             ,3,9,0,11,13,3,9,0,8,26,13,0,15,11,5,8,4,26,9,3,7
                         ,GRAPHISME        ,1,0,0,4,1,1,3,0,6,2,1,0,6,2,1,0,0,7,5,0,2
                         ,AUTOUR DU JEU    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,BD ADULTES       ,75,14,0,69,47,47,64,0,58,55,78,0,39,33,31,39,4,100,104,31,40
                         ,BD JEUNESSE      ,189,109,0,318,136,58,139,5,182,246,156,1,191,193,74,60,2,299,295,177,136
                         ,CINEMA ADULTES   ,39,60,1,70,62,44,45,5,82,120,50,1,84,33,30,28,2,85,60,35,39
                         ,CINEMA JEUNESSE  ,18,11,0,73,23,14,22,0,12,66,16,0,44,68,25,6,1,43,39,14,17
                         ,DANSE            ,0,21,0,0,10,1,17,0,0,0,0,0,7,1,0,0,0,0,1,5,3
                         ,GEOGRAPHIE       ,11,22,0,27,12,8,28,0,23,10,10,0,10,17,3,4,0,38,11,7,7
                         ,HISTOIRE         ,10,10,0,9,8,11,10,1,7,10,15,0,16,4,11,8,0,15,8,7,9
                         ,INFORMATIQUE     ,3,7,0,1,0,1,10,0,6,3,1,0,6,7,9,1,0,5,6,2,2
                         ,JEUX D'ASSEMBLAGE,8,4,0,4,9,1,12,0,4,9,11,0,10,5,7,8,0,3,12,4,11
                         ,JEUX D'EXERCICES ,8,1,0,7,13,7,1,0,7,2,4,0,11,5,4,5,0,6,6,8,2
                         ,JEUX             ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
                         ,GRANDS JEUX      ,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES    ,36,9,0,83,43,21,40,4,41,29,26,0,28,26,19,26,0,43,51,22,32
                         ,JEUX SYMBOLIQUES ,9,8,0,15,21,6,6,0,9,14,6,0,17,11,14,6,0,13,13,8,4
                         ,JEUX VIDEO       ,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,3,0,0,0,0,1
                         ,LANGUES          ,2,3,0,9,3,4,4,0,2,5,0,0,8,1,1,0,0,2,3,1,1
                         ,LITTERATURE      ,0,9,0,3,1,1,1,0,2,0,2,0,4,3,2,1,0,1,0,1,0
                         ,LOISIRS CREATIFS ,15,1,0,6,2,13,5,0,4,8,10,0,13,14,5,3,0,2,11,11,6
